Timestamp,PM1.0 (std),PM2.5 (std),PM10 (std),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um,Temperature: %0.1f C,Gas: %d ohm,Humidity: %0.1f %%,Pressure: %0.3f hPa,Altitude = %0.2f meters
2025-02-26 14:47:07,1,2,3,1,2,3,426,105,20,2,1,1,25.71359375,137643,36.99328771702655,1006.31821531355,57.87235030344092
2025-02-26 14:47:08,1,2,3,1,2,3,426,105,20,2,1,1,25.673359375,136640,36.971699665403015,1006.3153663989211,57.896201698256014
2025-02-26 14:47:09,1,2,3,1,2,3,426,107,26,2,1,1,25.637421875,138889,36.97389098583787,1006.3123520025626,57.921438581997805
2025-02-26 14:47:10,1,2,3,1,2,3,426,107,26,2,1,1,25.605390625,139348,36.970644366118655,1006.3138539600864,57.90886400786754
2025-02-26 14:47:11,1,2,3,1,2,3,426,107,26,2,1,1,25.57375,139233,36.979106639118356,1006.3124412300659,57.92069155788314
2025-02-26 14:47:12,1,2,2,1,2,2,420,109,27,1,0,0,25.542890625,139233,37.03433043456479,1006.3034351732119,57.996091692965436
2025-02-26 14:47:13,1,2,2,1,2,2,420,109,27,1,0,0,25.514765625,139578,37.12487829726154,1006.2970607510858,58.049459695320316
2025-02-26 14:47:14,1,2,2,1,2,2,420,109,27,1,0,0,25.4909375,139118,37.24512354542833,1006.3011434428029,58.01527851030354
2025-02-26 14:47:15,1,3,3,1,3,3,453,120,30,1,0,0,25.4610546875,141213,37.376530345657585,1006.2937007590194,58.07759036555918
2025-02-26 14:47:16,1,3,3,1,3,3,453,120,30,1,0,0,25.4313671875,140860,37.42613771888497,1006.2883385689154,58.12248408194535
2025-02-26 14:47:17,1,3,3,1,3,3,453,120,30,1,0,0,25.403046875,140625,37.44664256954861,1006.2798681511705,58.19340112158137
2025-02-26 14:47:18,1,3,3,1,3,3,426,116,28,1,0,0,25.374921875,140274,37.46131810694925,1006.2540194362964,58.409817797058864
2025-02-26 14:47:19,1,3,3,1,3,3,426,116,28,1,0,0,25.349921875,140742,37.528980596294836,1006.2066696897296,58.80626213008931
2025-02-26 14:47:20,1,3,3,1,3,3,426,116,28,1,0,0,25.3270703125,140391,37.555906773009504,1006.1468619857218,59.307034559704704
2025-02-26 14:47:21,1,3,3,1,3,3,384,108,28,1,0,0,25.3059765625,140274,37.694290316992124,1006.0898878553656,59.784103774614636
2025-02-26 14:47:22,1,3,3,1,3,3,384,108,28,1,0,0,25.2815625,140625,37.83244501489532,1006.0204922811776,60.365212699699974
2025-02-26 14:47:23,1,3,3,1,3,3,384,108,28,1,0,0,25.259296875,141095,37.9239919082679,1005.9510226224974,60.94697450783358
2025-02-26 14:47:24,1,3,3,1,3,3,393,111,31,1,0,0,25.2372265625,141450,37.96278544577511,1005.8694900080984,61.62979697638682
2025-02-26 14:47:25,1,3,3,1,3,3,393,111,31,1,0,0,25.2157421875,141569,37.99577759890445,1005.7977474200425,62.23066662372834
2025-02-26 14:47:26,1,3,3,1,3,3,393,111,31,1,0,0,25.195625,141926,37.99369957583003,1005.7140616438129,62.93160856396693
2025-02-26 14:47:27,1,3,3,1,3,3,393,111,28,1,0,0,25.17609375,141926,38.00928898853555,1005.6313230797105,63.624663198980286
2025-02-26 14:47:28,1,3,3,1,3,3,393,111,28,1,0,0,25.1544140625,143739,37.98944397288102,1005.5504335816779,64.30227387795071
2025-02-26 14:47:29,1,3,3,1,3,3,393,111,28,1,0,0,25.1344921875,142165,37.99912377282293,1005.4723780446443,64.95618633316025
2025-02-26 14:47:30,1,3,3,1,3,3,420,118,30,2,1,0,25.112421875,142766,38.026188655935485,1005.4103171987902,65.47613214645716
2025-02-26 14:47:31,1,3,3,1,3,3,420,118,30,2,1,0,25.0911328125,142766,38.029859009331986,1005.3654300405667,65.8522129872807
2025-02-26 14:47:32,1,3,3,1,3,3,420,118,30,2,1,0,25.0704296875,143617,38.03359001422292,1005.3320960163311,66.13150629168055
